31859,0,9.052,0.861,Pedestrian
31859,1,2.972,0.752,Pedestrian
31864,0,2.984,0.911,Pedestrian
31864,1,9.075,0.719,Pedestrian
31865,0,2.994,0.890,Pedestrian
31865,1,9.071,0.804,Pedestrian
31866,0,2.973,0.924,Pedestrian
31866,1,9.054,0.866,Pedestrian
31867,0,2.983,0.918,Pedestrian
31867,1,9.080,0.801,Pedestrian
31868,0,2.993,0.840,Pedestrian
31868,1,9.059,0.821,Pedestrian
31869,0,9.058,0.853,Pedestrian
31869,1,2.981,0.745,Pedestrian
31870,0,9.061,0.926,Pedestrian
31870,1,2.979,0.724,Pedestrian
31871,0,2.974,0.950,Pedestrian
31871,1,9.079,0.907,Pedestrian
31872,0,9.126,0.885,Pedestrian
31873,0,2.973,0.935,Pedestrian
31873,1,9.126,0.866,Pedestrian
31874,0,9.130,0.846,Pedestrian
31874,1,2.958,0.835,Pedestrian
31875,0,9.132,0.913,Pedestrian
31875,1,2.992,0.802,Pedestrian
31876,0,3.010,0.925,Pedestrian
31876,1,9.071,0.882,Pedestrian
31877,0,3.030,0.897,Pedestrian
31877,1,9.058,0.835,Pedestrian
31878,0,9.067,0.847,Pedestrian
31878,1,3.065,0.835,Pedestrian
31879,0,9.068,0.791,Pedestrian
31879,1,3.069,0.755,Pedestrian
31880,0,9.099,0.775,Pedestrian
31881,0,9.129,0.818,Pedestrian
31881,1,3.060,0.788,Pedestrian
31882,0,9.132,0.907,Pedestrian
31882,1,3.043,0.872,Pedestrian
31883,0,9.104,0.916,Pedestrian
31883,1,3.059,0.810,Pedestrian
31884,0,3.036,0.937,Pedestrian
31884,1,9.078,0.857,Pedestrian
31885,0,9.071,0.803,Pedestrian
31885,1,3.011,0.799,Pedestrian
31886,0,3.009,0.788,Pedestrian
31886,1,9.117,0.711,Pedestrian
31887,0,9.069,0.780,Pedestrian
31887,1,2.968,0.728,Pedestrian
31888,0,2.991,0.904,Pedestrian
31888,1,9.077,0.785,Pedestrian
31889,0,2.988,0.825,Pedestrian
31889,1,9.085,0.766,Pedestrian
31891,0,3.002,0.789,Pedestrian
31892,0,2.950,0.846,Pedestrian
31892,1,9.127,0.742,Pedestrian
31893,0,2.974,0.850,Pedestrian
31893,1,9.132,0.761,Pedestrian
31894,0,2.988,0.955,Pedestrian
31894,1,9.117,0.760,Pedestrian
31895,0,2.974,0.815,Pedestrian
