31101,0,20.133,0.974,Pedestrian
31101,1,4.197,0.923,Pedestrian
31105,0,4.519,0.914,Pedestrian
31105,1,20.104,0.895,Pedestrian
31106,0,4.587,0.947,Pedestrian
31106,1,20.124,0.884,Pedestrian
31107,0,4.703,0.973,Pedestrian
31107,1,20.103,0.927,Pedestrian
31108,0,4.745,0.955,Pedestrian
31108,1,20.057,0.831,Pedestrian
31109,0,4.889,0.958,Pedestrian
31109,1,20.053,0.844,Pedestrian
31110,0,4.956,0.976,Pedestrian
31110,1,20.033,0.943,Pedestrian
31111,0,5.019,0.973,Pedestrian
31111,1,20.018,0.823,Pedestrian
31112,0,5.014,0.973,Pedestrian
31112,1,20.007,0.829,Pedestrian
31113,0,5.135,0.949,Pedestrian
31114,0,5.248,0.976,Pedestrian
31115,0,5.277,0.934,Pedestrian
31115,1,20.020,0.774,Pedestrian
31116,0,5.309,0.902,Pedestrian
31116,1,20.021,0.770,Pedestrian
31117,0,5.393,0.907,Pedestrian
31117,1,20.029,0.805,Pedestrian
31118,0,5.406,0.786,Pedestrian
31119,0,5.469,0.925,Pedestrian
31119,1,20.018,0.791,Pedestrian
31120,0,5.558,0.977,Pedestrian
31120,1,20.022,0.794,Pedestrian
31121,0,5.643,0.925,Pedestrian
31122,0,5.713,0.944,Pedestrian
31123,0,5.773,0.991,Pedestrian
31123,1,20.018,0.711,Pedestrian
31124,0,5.804,0.984,Pedestrian
31124,1,20.036,0.791,Pedestrian
31125,0,5.845,0.987,Pedestrian
31125,1,20.036,0.820,Pedestrian
31126,0,5.870,0.972,Pedestrian
31126,1,20.056,0.832,Pedestrian
31127,0,5.862,0.934,Pedestrian
31127,1,20.059,0.905,Pedestrian
31128,0,5.846,0.965,Pedestrian
31128,1,20.027,0.944,Pedestrian
31129,0,20.057,0.980,Pedestrian
31129,1,5.886,0.867,Pedestrian
31130,0,20.040,0.956,Pedestrian
31131,0,20.025,0.987,Pedestrian
31131,1,5.970,0.858,Pedestrian
31132,0,20.016,0.959,Pedestrian
31132,1,5.959,0.956,Pedestrian
31133,0,19.957,0.987,Pedestrian
31133,1,5.947,0.940,Pedestrian
31134,0,19.963,0.982,Pedestrian
31134,1,5.910,0.979,Pedestrian
31135,0,19.933,0.983,Pedestrian
31135,1,5.861,0.905,Pedestrian
31136,0,19.953,0.987,Pedestrian
31136,1,5.780,0.889,Pedestrian
31137,0,19.937,0.984,Pedestrian
31137,1,5.875,0.905,Pedestrian
31138,0,5.904,0.969,Pedestrian
31138,1,19.944,0.951,Pedestrian
31139,0,19.942,0.961,Pedestrian
31139,1,5.867,0.941,Pedestrian
31140,0,5.909,0.971,Pedestrian
31140,1,19.951,0.964,Pedestrian
31141,0,19.950,0.990,Pedestrian
31141,1,5.862,0.945,Pedestrian
31142,0,19.949,0.958,Pedestrian
31142,1,5.885,0.915,Pedestrian
31143,0,19.946,0.969,Pedestrian
31143,1,5.925,0.933,Pedestrian
31144,0,19.929,0.959,Pedestrian
