26001,0,7.087,0.982,Pedestrian
26003,0,7.113,0.981,Pedestrian
26004,0,7.127,0.986,Pedestrian
26005,0,7.106,0.987,Pedestrian
26006,0,7.088,0.992,Pedestrian
26007,0,7.109,0.985,Pedestrian
26008,0,7.111,0.974,Pedestrian
26009,0,7.098,0.992,Pedestrian
26010,0,7.093,0.989,Pedestrian
26011,0,7.090,0.984,Pedestrian
26012,0,7.111,0.986,Pedestrian
26013,0,7.089,0.984,Pedestrian
26014,0,7.085,0.992,Pedestrian
26015,0,7.091,0.990,Pedestrian
26016,0,7.084,0.990,Pedestrian
26017,0,7.063,0.990,Pedestrian
26018,0,7.085,0.974,Pedestrian
26019,0,7.093,0.988,Pedestrian
26020,0,7.072,0.934,Pedestrian
26021,0,7.139,0.916,Pedestrian
26036,0,6.985,0.746,Pedestrian
26037,0,7.018,0.765,Pedestrian
26038,0,6.998,0.707,Pedestrian
26041,0,7.015,0.727,Pedestrian
26042,0,7.040,0.817,Pedestrian
26043,0,7.051,0.964,Pedestrian
26044,0,7.036,0.988,Pedestrian
26045,0,7.016,0.987,Pedestrian
26046,0,6.987,0.988,Pedestrian
26047,0,6.977,0.989,Pedestrian
26048,0,6.959,0.955,Pedestrian
26049,0,6.985,0.961,Pedestrian
26050,0,6.965,0.941,Pedestrian
26051,0,6.952,0.953,Pedestrian
26052,0,6.940,0.980,Pedestrian
26053,0,6.987,0.973,Pedestrian
26054,0,6.946,0.973,Pedestrian
26055,0,6.953,0.978,Pedestrian
26056,0,6.939,0.981,Pedestrian
26057,0,6.974,0.980,Pedestrian
26058,0,6.954,0.981,Pedestrian
26059,0,6.966,0.977,Pedestrian
26060,0,6.950,0.970,Pedestrian
26061,0,6.966,0.969,Pedestrian
26062,0,6.983,0.986,Pedestrian
26063,0,6.988,0.962,Pedestrian
26064,0,6.986,0.971,Pedestrian
26065,0,7.048,0.935,Pedestrian
26066,0,7.075,0.954,Pedestrian
26067,0,7.100,0.981,Pedestrian
26068,0,7.146,0.968,Pedestrian
26069,0,7.190,0.972,Pedestrian
