26426,0,12.981,0.993,Pedestrian
26431,0,13.011,0.987,Pedestrian
26432,0,13.014,0.990,Pedestrian
26433,0,12.999,0.989,Pedestrian
26434,0,13.002,0.990,Pedestrian
26435,0,12.980,0.988,Pedestrian
26436,0,13.007,0.985,Pedestrian
26437,0,12.986,0.981,Pedestrian
26438,0,13.022,0.959,Pedestrian
26439,0,13.016,0.921,Pedestrian
26440,0,13.006,0.855,Pedestrian
26441,0,12.962,0.859,Pedestrian
26442,0,12.923,0.932,Pedestrian
26443,0,12.845,0.758,Pedestrian
26444,0,12.857,0.788,Pedestrian
26445,0,12.875,0.752,Pedestrian
26446,0,12.854,0.852,Pedestrian
26448,0,12.845,0.849,Pedestrian
26449,0,12.859,0.808,Pedestrian
26450,0,12.824,0.805,Pedestrian
26452,0,12.850,0.745,Pedestrian
26453,0,12.846,0.760,Pedestrian
26455,0,12.831,0.790,Pedestrian
26456,0,12.859,0.711,Pedestrian
26458,0,12.902,0.873,Pedestrian
26459,0,12.940,0.900,Pedestrian
26460,0,12.979,0.853,Pedestrian
26461,0,12.982,0.954,Pedestrian
26462,0,12.980,0.987,Pedestrian
26463,0,12.982,0.990,Pedestrian
26464,0,12.965,0.988,Pedestrian
26465,0,12.937,0.985,Pedestrian
26466,0,12.940,0.985,Pedestrian
26467,0,12.932,0.990,Pedestrian
26468,0,12.927,0.990,Pedestrian
26469,0,12.928,0.978,Pedestrian
26470,0,12.922,0.992,Pedestrian
26471,0,12.938,0.969,Pedestrian
26472,0,12.934,0.977,Pedestrian
26473,0,12.916,0.984,Pedestrian
26474,0,12.917,0.975,Pedestrian
26475,0,12.920,0.968,Pedestrian
26476,0,12.920,0.986,Pedestrian
26477,0,12.921,0.983,Pedestrian
26478,0,12.922,0.832,Pedestrian
26479,0,12.927,0.981,Pedestrian
26480,0,12.941,0.958,Pedestrian
26481,0,12.931,0.987,Pedestrian
26482,0,12.921,0.991,Pedestrian
